English Premier League,,,,,,
Team,GP,Won,Draw,Loss,GF,GA
Chelsea,20,16,1,3,42,15
Liverpool,20,13,5,2,48,23
Tottenham Hotspur,20,12,6,2,39,14
Manchester City,20,13,3,4,41,22
Arsenal,20,12,5,3,44,22
Manchester United,20,11,6,3,31,19
Everton,20,8,6,6,28,23
West Bromwich Albion,20,8,5,7,28,24
AFC Bournemouth,20,7,4,9,29,34
Southampton,20,6,6,8,19,25
Stoke City,20,6,6,8,24,32
Burnley,20,7,2,11,22,31
West Ham United,20,6,4,10,23,35
Watford,20,6,4,10,23,36
Leicester City,20,5,6,9,24,31
Middlesbrough,20,4,7,9,17,22
Crystal Palace,20,4,4,12,30,37
Sunderland,20,4,3,13,19,37
Swansea City,20,4,3,13,23,45
Hull City,20,3,4,13,17,44
